links,names,ratings,cuisine,price_for_one
https://www.zomato.com/hyderabad/hotel-niagara-1-malakpet/order,Hotel Niagara,3.9,"North Indian, Biryani, Arabian, Beverages, Mandi",100
https://www.zomato.com/hyderabad/kings-restaurant-mehdipatnam/order,King's Restaurant,4,"Arabian, North Indian, Chinese, Mandi, Beverages, Desserts, Sichuan, Shawarma",100
https://www.zomato.com/hyderabad/minerva-sweets-masab-tank/order,Minerva Sweets,4.4,"Mithai, Desserts, Juices, Fast Food",100
https://www.zomato.com/hyderabad/hotel-parwaz-2-rajendra-nagar/order,Hotel Parwaz,4,"Chinese, North Indian, Kebab, Biryani, Seafood, Beverages, Mughlai, Sichuan",100
https://www.zomato.com/hyderabad/nrs-nandini-sudha-rtc-x-roads/order,NR's Nandini Sudha,3.9,"North Indian, Chinese, South Indian, Mughlai, Desserts, Beverages",100
https://www.zomato.com/hyderabad/fishland-ameerpet/order,Fishland,4,"North Indian, Chinese, Andhra",100
https://www.zomato.com/hyderabad/anu-tiffins-centre-charminar/order,Anu Tiffins Centre,4.2,"South Indian, Street Food",100
https://www.zomato.com/hyderabad/bakingo-sp-road-secunderabad/order,Bakingo,4.4,"Bakery, Desserts, Coffee",100
https://www.zomato.com/hyderabad/abs-absolute-barbecues-banjara-hills/order,AB's - Absolute Barbecues,3.8,"North Indian, Street Food, Fast Food, BBQ, Desserts",100
https://www.zomato.com/hyderabad/dwaraka-veg-restaurant-lakdikapul/order,Dwaraka Veg Restaurant,4.1,"South Indian, North Indian, Chinese, Biryani, Beverages, Desserts",100
https://www.zomato.com/hyderabad/dunkin-donuts-banjara-hills/order,DUNKIN' DONUTS,4.3,"Burger, Desserts, Tea, Coffee",150
https://www.zomato.com/hyderabad/hotel-sohail-malakpet/order,Hotel Sohail,4.2,"North Indian, Mughlai, Kebab, Chinese, Beverages, Desserts",150
https://www.zomato.com/hyderabad/sri-durga-udupi-tiffins-meals-mehdipatnam/order,Sri Durga Udupi Tiffins & Meals,3.9,South Indian,150
https://www.zomato.com/hyderabad/momo-monk-mehdipatnam/order,Momo Monk,4.3,Momos,150
https://www.zomato.com/hyderabad/babai-grand-hotel-attapur/order,Babai Grand Hotel,3.6,"South Indian, Chinese, North Indian, Biryani",150
https://www.zomato.com/hyderabad/redaan-restaurant-saroor-nagar/order,Redaan Restaurant,4.1,"Biryani, Mughlai, Chinese, Kebab, Sichuan",150
https://www.zomato.com/hyderabad/nandu-fresh-fruit-juice-centre-himayath-nagar/order,Nandu Fresh Fruit Juice Centre,3.7,"Beverages, Juices, Shake, Healthy Food",150
https://www.zomato.com/hyderabad/royal-juice-cente-rajendra-nagar/order,Royal Juice Cente,4,"Juices, Beverages, Fast Food, Shake",150
https://www.zomato.com/hyderabad/krispy-kreme-banjara-hills/order,Krispy Kreme,4.3,"Desserts, Beverages",150
https://www.zomato.com/hyderabad/ohris-cake-nation-basheer-bagh/order,Ohri's Cake Nation,4.1,"Bakery, Desserts, Ice Cream",150
https://www.zomato.com/hyderabad/hotel-sweekar-saroor-nagar/order,Hotel Sweekar,4,"South Indian, Beverages",150
https://www.zomato.com/hyderabad/taj-mahal-taj-mahal-hotel-abids/order,Taj Mahal - Taj Mahal Hotel,4.2,"North Indian, South Indian, Chinese, Street Food, Fast Food, Beverages",150
https://www.zomato.com/hyderabad/masqati-ice-cream-saroor-nagar/order,Masqati Ice Cream,4.3,"Ice Cream, Desserts, Pizza, Fast Food, Street Food, Beverages",100
https://www.zomato.com/hyderabad/hotel-sri-raghavendra-udupi-veg-1-saroor-nagar/order,Hotel Sri Raghavendra Udupi Veg,4.1,"South Indian, Chinese, North Indian, Juices, Beverages, Desserts, Sichuan",100
https://www.zomato.com/hyderabad/sindhura-eastcourt-tiffins-meals-saroor-nagar/order,Sindhura Eastcourt Tiffins & Meals,3.9,"South Indian, Desserts, Beverages",100
https://www.zomato.com/hyderabad/bhattad-ki-idli-rambharose-bhandar-attapur/order,Bhattad Ki Idli - Rambharose Bhandar,4,South Indian,100
https://www.zomato.com/hyderabad/hotel-ashoka-grand-udupi-veg-rajendra-nagar/order,Hotel Ashoka Grand Udupi Veg,3.7,"South Indian, Chinese",100
https://www.zomato.com/hyderabad/sri-gayatri-bhavan-dilsukhnagar/order,Sri Gayatri Bhavan,4.3,South Indian,100
https://www.zomato.com/hyderabad/haldirams-sweets-and-namkeens-abids/order,Haldirams Sweets And Namkeens,4.3,"Mithai, North Indian, Street Food, South Indian, Beverages",100
https://www.zomato.com/hyderabad/frozen-bottle-milkshakes-desserts-and-ice-cream-himayath-nagar/order,"Frozen Bottle - Milkshakes, Desserts and Ice Cream",4.2,"Beverages, Desserts, Ice Cream, Waffle",100
https://www.zomato.com/hyderabad/fruitfull-himayath-nagar/order,Fruitfull,4.2,"Healthy Food, Desserts",100
https://www.zomato.com/hyderabad/sandwich-eatery-langer-houz/order,Sandwich Eatery,4,"Fast Food, Sandwich, Shake, Beverages, Burger, Coffee",100
https://www.zomato.com/hyderabad/hotel-anand-bhavan-attapur/order,Hotel Anand Bhavan,3.4,"South Indian, Beverages",100
https://www.zomato.com/hyderabad/snack-house-mehdipatnam/order,Snack House,4.1,"Fast Food, Momos",100
https://www.zomato.com/hyderabad/4m-biryani-house-musheerabad/order,4M Biryani House,4.2,"North Indian, Chinese",150
https://www.zomato.com/hyderabad/vasireddy-swagruha-foods-1-kothapet/order,Vasireddy Swagruha Foods,4.2,"Mithai, Street Food",150
https://www.zomato.com/hyderabad/ikraam-restaurant-charminar/order,Ikraam Restaurant,4,"North Indian, Chinese, Mughlai, Asian, Mandi, Desserts, Biryani, BBQ",150
https://www.zomato.com/hyderabad/krishna-food-court-1-ramanthapur/order,Krishna Food Court,3.8,"Chinese, Biryani, North Indian",150
https://www.zomato.com/hyderabad/royal-tiffin-center-abids/order,Royal Tiffin Center,3.7,"South Indian, Street Food, Beverages",150
https://www.zomato.com/hyderabad/just-bake-1-srinagar-colony/order,Just Bake,4.2,"Bakery, Desserts, Fast Food, Street Food, Pizza, Burger",150
https://www.zomato.com/hyderabad/ibaco-kacheguda/order,ibaco,4.1,"Desserts, Ice Cream",150
https://www.zomato.com/hyderabad/kwality-walls-frozen-dessert-and-ice-cream-shop-saroor-nagar/order,Kwality Wall’s Frozen Dessert and Ice Cream Shop,3.9,"Ice Cream, Desserts",150
https://www.zomato.com/hyderabad/suprabath-tiffins-panjagutta/order,Suprabath Tiffins,4,"South Indian, Juices",150
https://www.zomato.com/hyderabad/abhiruchi-swaghruha-foods-s-r-nagar/order,Abhiruchi Swaghruha Foods,4.5,Mithai,150
https://www.zomato.com/hyderabad/indira-darshini-khairatabad/order,Indira Darshini,3.9,"Chinese, Biryani, North Indian",150
https://www.zomato.com/hyderabad/krupa-mess-tiffins-abids/order,Krupa Mess & Tiffins,3.6,"South Indian, Chinese, North Indian, Sichuan, Pizza",150
https://www.zomato.com/hyderabad/baker-street-mehdipatnam/order,Baker Street,4.3,"Bakery, Chinese, Sandwich, Burger, Pizza, Fast Food",100
https://www.zomato.com/hyderabad/alhamdulilah-juice-centre-charminar/order,Alhamdulilah Juice Centre,3.7,"Juices, Beverages, Ice Cream, Shake",100
https://www.zomato.com/hyderabad/taj-mahal-hotel-himayath-nagar/order,Taj Mahal Hotel,4,"South Indian, Chinese, North Indian, Beverages, Desserts, Sandwich",100
https://www.zomato.com/hyderabad/sweet-truth-cake-and-desserts-abids/order,Sweet Truth - Cake and Desserts,4.3,"Desserts, Bakery",100
https://www.zomato.com/hyderabad/sri-raghavendra-udupi-ramanthapur/order,Sri Raghavendra Udupi,3.9,"South Indian, Chinese",100
https://www.zomato.com/hyderabad/onesta-banjara-hills/order,Onesta,3.5,"Pizza, Pasta, Fast Food, Desserts, Beverages",100
https://www.zomato.com/hyderabad/chung-hua-restaurant-pg-road-secunderabad/order,Chung Hua Restaurant,4.2,"Chinese, Singaporean, Thai, Seafood, Ice Cream, Beverages, North Indian, Sichuan",100
https://www.zomato.com/hyderabad/the-nosh-bistro-himayath-nagar/order,The Nosh Bistro,3.8,"Fast Food, Sandwich, Burger, Pizza, Mexican, Beverages",100
https://www.zomato.com/hyderabad/telangana-inti-ruchulu-dilsukhnagar/order,Telangana Inti Ruchulu,4.1,"Biryani, South Indian, Beverages",100
https://www.zomato.com/hyderabad/masqati-ice-cream-charminar/order,Masqati Ice Cream,4.4,"Desserts, Fast Food, Street Food, Pizza, Ice Cream, Beverages",100
https://www.zomato.com/hyderabad/cafe-coffee-day-2-kacheguda/order,Cafe Coffee Day,3.6,"Cafe, Fast Food, Coffee, Desserts, Beverages",100
https://www.zomato.com/hyderabad/sri-raghavendra-tiffins-and-meals-dilsukhnagar/order,Sri Raghavendra Tiffins and Meals,4,"South Indian, Street Food",100
